model,task,success,valid
deepseekcoderv2,file_exists,0.21428571428571427,0.07142857142857142
stablecode,str_concat,0.6190476190476191,0.023809523809523808
dolphincoder7b,file_size,0.2857142857142857,0.047619047619047616
deepseekcoder7b,int_arith,0.14285714285714285,0.09523809523809523
deepseekcoder7b,file_size,0.19047619047619047,0.07142857142857142
yicoder2b,str_append,0.19047619047619047,0.07142857142857142
yicoder2b,int_arith,0.2857142857142857,0.047619047619047616
codeqwen,file_size,0.2619047619047619,0.047619047619047616
magicoder7b,file_create,0.2619047619047619,0.047619047619047616
magicoder7b,file_size,0.2619047619047619,0.047619047619047616
magicoder7b,file_exists,0.16666666666666666,0.07142857142857142
qwen2.5coder7b,logic_ops,0.16666666666666666,0.07142857142857142
qwen2.5coder2b,str_substring,0.5,0.023809523809523808
codeqwen,str_prepend,0.11904761904761904,0.09523809523809523
dolphincoder7b,str_append,0.11904761904761904,0.09523809523809523
dolphincoder7b,str_prepend,0.23809523809523808,0.047619047619047616
magicoder7b,str_append,0.11904761904761904,0.09523809523809523
dolphincoder7b,str_cmp,0.4523809523809524,0.023809523809523808
yicoder2b,dir_make,0.4523809523809524,0.023809523809523808
deepseekcoderv2,bit_ops,0.14285714285714285,0.07142857142857142
deepseekcoderv2,file_rename,0.21428571428571427,0.047619047619047616
yicoder2b,str_prepend,0.14285714285714285,0.07142857142857142
granitecode8b,str_concat,0.42857142857142855,0.023809523809523808
codegeex4,int_arith,0.14285714285714285,0.07142857142857142
stablecode,str_interp,0.40476190476190477,0.023809523809523808
granitecode8b,file_create,0.38095238095238093,0.023809523809523808
codegeex4,str_prepend,0.09523809523809523,0.09523809523809523
granitecode8b,str_interp,0.38095238095238093,0.023809523809523808
yicoder9b,str_cmp,0.19047619047619047,0.047619047619047616
deepseekcoderv2,file_size,0.19047619047619047,0.047619047619047616
granitecode8b,int_cmp,0.35714285714285715,0.023809523809523808
deepseekcoderv2,str_concat,0.11904761904761904,0.07142857142857142
codellama7b,str_interp,0.3333333333333333,0.023809523809523808
codegemma7b,str_interp,0.2857142857142857,0.023809523809523808
yicoder2b,str_interp,0.14285714285714285,0.047619047619047616
codegemma7b,str_append,0.14285714285714285,0.047619047619047616
yicoder9b,file_exists,0.14285714285714285,0.047619047619047616
codegeex4,str_concat,0.09523809523809523,0.07142857142857142
deepseekcoderv2,str_substring,0.09523809523809523,0.07142857142857142
codellama7b,int_cmp,0.11904761904761904,0.047619047619047616
qwen2.5coder2b,int_cmp,0.23809523809523808,0.023809523809523808
codeqwen,file_exists,0.23809523809523808,0.023809523809523808
deepseekcoder7b,str_prepend,0.11904761904761904,0.047619047619047616
deepseekcoder7b,str_append,0.07142857142857142,0.07142857142857142
yicoder2b,str_concat,0.21428571428571427,0.023809523809523808
deepseekcoderv2,logic_ops,0.07142857142857142,0.07142857142857142
deepseekcoderv2,str_cmp,0.09523809523809523,0.047619047619047616
dolphincoder7b,str_concat,0.09523809523809523,0.047619047619047616
codegeex4,str_append,0.07142857142857142,0.047619047619047616
codegemma7b,int_arith,0.14285714285714285,0.023809523809523808
yicoder9b,int_cmp,0.047619047619047616,0.047619047619047616
deepseekcoderv2,str_interp,0.047619047619047616,0.047619047619047616
codeqwen,str_concat,0.047619047619047616,0.047619047619047616
magicoder7b,str_interp,0.09523809523809523,0.023809523809523808
yicoder9b,str_match,0.09523809523809523,0.023809523809523808
yicoder9b,int_arith,0.09523809523809523,0.023809523809523808
codegeex4,str_interp,0.047619047619047616,0.023809523809523808
codeqwen,str_interp,0.047619047619047616,0.023809523809523808
yicoder9b,str_concat,0.023809523809523808,0.023809523809523808
deepseekcoderv2,int_arith,0.023809523809523808,0.023809523809523808
stablecode,int_cmp,0.7857142857142857,0.0
codegemma7b,int_cmp,0.07142857142857142,0.0
yicoder9b,str_interp,0.07142857142857142,0.0
deepseekcoderv2,str_append,0.023809523809523808,0.0
yicoder2b,file_size,0.30952380952380953,0.0
codeqwen,str_append,0.023809523809523808,0.0
codegeex4,int_cmp,0.023809523809523808,0.0
yicoder2b,str_match,0.38095238095238093,0.0
stablecode,str_prepend,0.35714285714285715,0.0
stablecode,str_substring,0.9285714285714286,0.0
deepseekcoderv2,str_match,0.11904761904761904,0.0
stablecode,file_exists,0.9523809523809523,0.0
magicoder7b,str_match,0.16666666666666666,0.0
